Installing dependencies from requirements.txt...
Loading dataset: tatsu-lab/alpaca
Total samples loaded: 52002
Dropped 28 samples with empty output fields.
Train dataset size:      46776
Validation dataset size: 5198
Output directory: /work/gvx508/llmProject/checkpoints/sft-lora-Llama-3.2-3B-alpaca-r32-a64-d0.05-lr1.0e-04-wd0.01
Train dataset size:      46776
Validation dataset size: 5198
Max sequence length: 131072
{'eval_loss': '2.353', 'eval_runtime': '162.5', 'eval_samples_per_second': '31.99', 'eval_steps_per_second': '8', 'eval_entropy': '2.408', 'eval_num_tokens': '0', 'eval_mean_token_accuracy': '0.4913', 'epoch': 0}
{'loss': '2.289', 'grad_norm': '1.972', 'learning_rate': '0', 'entropy': '2.335', 'num_tokens': '3703', 'mean_token_accuracy': '0.4958', 'epoch': '0.0006841'}
{'loss': '1.141', 'grad_norm': '0.9374', 'learning_rate': '2.711e-05', 'entropy': '1.155', 'num_tokens': '3.969e+05', 'mean_token_accuracy': '0.7115', 'epoch': '0.08209'}
{'loss': '1.134', 'grad_norm': '1.02', 'learning_rate': '2.825e-05', 'entropy': '1.168', 'num_tokens': '4.126e+05', 'mean_token_accuracy': '0.7118', 'epoch': '0.08551'}
{'loss': '1.09', 'grad_norm': '0.5685', 'learning_rate': '2.938e-05', 'entropy': '1.139', 'num_tokens': '4.286e+05', 'mean_token_accuracy': '0.7199', 'epoch': '0.08893'}
{'loss': '1.117', 'grad_norm': '0.5291', 'learning_rate': '3.052e-05', 'entropy': '1.111', 'num_tokens': '4.455e+05', 'mean_token_accuracy': '0.7148', 'epoch': '0.09236'}
{'loss': '1.086', 'grad_norm': '0.5339', 'learning_rate': '3.166e-05', 'entropy': '1.094', 'num_tokens': '4.614e+05', 'mean_token_accuracy': '0.7197', 'epoch': '0.09578'}
{'loss': '1.094', 'grad_norm': '0.6327', 'learning_rate': '3.28e-05', 'entropy': '1.088', 'num_tokens': '4.782e+05', 'mean_token_accuracy': '0.722', 'epoch': '0.0992'}
{'loss': '1.069', 'grad_norm': '0.712', 'learning_rate': '3.394e-05', 'entropy': '1.08', 'num_tokens': '4.953e+05', 'mean_token_accuracy': '0.725', 'epoch': '0.1026'}
{'eval_loss': '1.076', 'eval_runtime': '159.8', 'eval_samples_per_second': '32.53', 'eval_steps_per_second': '8.135', 'eval_entropy': '1.086', 'eval_num_tokens': '4.953e+05', 'eval_mean_token_accuracy': '0.7191', 'epoch': '0.1026'}
{'loss': '1.081', 'grad_norm': '0.6107', 'learning_rate': '3.508e-05', 'entropy': '1.074', 'num_tokens': '5.113e+05', 'mean_token_accuracy': '0.7238', 'epoch': '0.106'}
{'loss': '1.088', 'grad_norm': '0.5626', 'learning_rate': '3.622e-05', 'entropy': '1.118', 'num_tokens': '5.279e+05', 'mean_token_accuracy': '0.7159', 'epoch': '0.1095'}
{'loss': '1.089', 'grad_norm': '0.611', 'learning_rate': '3.736e-05', 'entropy': '1.08', 'num_tokens': '5.44e+05', 'mean_token_accuracy': '0.7194', 'epoch': '0.1129'}
{'loss': '1.076', 'grad_norm': '0.6141', 'learning_rate': '3.85e-05', 'entropy': '1.063', 'num_tokens': '5.6e+05', 'mean_token_accuracy': '0.7248', 'epoch': '0.1163'}
{'loss': '1.064', 'grad_norm': '0.4826', 'learning_rate': '3.964e-05', 'entropy': '1.087', 'num_tokens': '5.764e+05', 'mean_token_accuracy': '0.7221', 'epoch': '0.1197'}
{'loss': '1.084', 'grad_norm': '0.5422', 'learning_rate': '4.077e-05', 'entropy': '1.099', 'num_tokens': '5.939e+05', 'mean_token_accuracy': '0.7209', 'epoch': '0.1231'}
{'loss': '1.126', 'grad_norm': '0.5937', 'learning_rate': '4.191e-05', 'entropy': '1.112', 'num_tokens': '6.117e+05', 'mean_token_accuracy': '0.7099', 'epoch': '0.1266'}
{'loss': '1.112', 'grad_norm': '0.5506', 'learning_rate': '4.305e-05', 'entropy': '1.117', 'num_tokens': '6.284e+05', 'mean_token_accuracy': '0.7147', 'epoch': '0.13'}
{'loss': '1.104', 'grad_norm': '0.5404', 'learning_rate': '4.419e-05', 'entropy': '1.1', 'num_tokens': '6.453e+05', 'mean_token_accuracy': '0.7171', 'epoch': '0.1334'}
{'loss': '1.039', 'grad_norm': '0.5018', 'learning_rate': '4.533e-05', 'entropy': '1.053', 'num_tokens': '6.621e+05', 'mean_token_accuracy': '0.7318', 'epoch': '0.1368'}
{'eval_loss': '1.063', 'eval_runtime': '159.8', 'eval_samples_per_second': '32.53', 'eval_steps_per_second': '8.135', 'eval_entropy': '1.091', 'eval_num_tokens': '6.621e+05', 'eval_mean_token_accuracy': '0.7233', 'epoch': '0.1368'}
{'loss': '1.14', 'grad_norm': '0.4653', 'learning_rate': '4.647e-05', 'entropy': '1.12', 'num_tokens': '6.798e+05', 'mean_token_accuracy': '0.7123', 'epoch': '0.1402'}
{'loss': '1.054', 'grad_norm': '0.5181', 'learning_rate': '4.761e-05', 'entropy': '1.048', 'num_tokens': '6.97e+05', 'mean_token_accuracy': '0.7261', 'epoch': '0.1437'}
{'loss': '1.159', 'grad_norm': '0.4914', 'learning_rate': '4.875e-05', 'entropy': '1.143', 'num_tokens': '7.15e+05', 'mean_token_accuracy': '0.7051', 'epoch': '0.1471'}
{'loss': '1.035', 'grad_norm': '0.7891', 'learning_rate': '4.989e-05', 'entropy': '1.031', 'num_tokens': '7.303e+05', 'mean_token_accuracy': '0.7345', 'epoch': '0.1505'}
{'loss': '1.061', 'grad_norm': '0.55', 'learning_rate': '5.103e-05', 'entropy': '1.055', 'num_tokens': '7.457e+05', 'mean_token_accuracy': '0.7282', 'epoch': '0.1539'}
{'loss': '1.078', 'grad_norm': '0.5139', 'learning_rate': '5.216e-05', 'entropy': '1.049', 'num_tokens': '7.62e+05', 'mean_token_accuracy': '0.7265', 'epoch': '0.1573'}
{'loss': '1.056', 'grad_norm': '0.5459', 'learning_rate': '5.33e-05', 'entropy': '1.064', 'num_tokens': '7.796e+05', 'mean_token_accuracy': '0.7235', 'epoch': '0.1608'}
{'loss': '1.081', 'grad_norm': '0.5024', 'learning_rate': '5.444e-05', 'entropy': '1.08', 'num_tokens': '7.963e+05', 'mean_token_accuracy': '0.7236', 'epoch': '0.1642'}
{'loss': '1.093', 'grad_norm': '0.5681', 'learning_rate': '5.558e-05', 'entropy': '1.095', 'num_tokens': '8.13e+05', 'mean_token_accuracy': '0.7147', 'epoch': '0.1676'}
{'loss': '1.074', 'grad_norm': '0.5006', 'learning_rate': '5.672e-05', 'entropy': '1.096', 'num_tokens': '8.294e+05', 'mean_token_accuracy': '0.723', 'epoch': '0.171'}
{'eval_loss': '1.056', 'eval_runtime': '159.5', 'eval_samples_per_second': '32.59', 'eval_steps_per_second': '8.152', 'eval_entropy': '1.058', 'eval_num_tokens': '8.294e+05', 'eval_mean_token_accuracy': '0.7248', 'epoch': '0.171'}
{'loss': '1.072', 'grad_norm': '0.519', 'learning_rate': '5.786e-05', 'entropy': '1.027', 'num_tokens': '8.46e+05', 'mean_token_accuracy': '0.7284', 'epoch': '0.1744'}
{'loss': '1.105', 'grad_norm': '0.4692', 'learning_rate': '5.9e-05', 'entropy': '1.097', 'num_tokens': '8.639e+05', 'mean_token_accuracy': '0.7126', 'epoch': '0.1779'}
{'loss': '1.04', 'grad_norm': '0.4796', 'learning_rate': '6.014e-05', 'entropy': '1.065', 'num_tokens': '8.813e+05', 'mean_token_accuracy': '0.7249', 'epoch': '0.1813'}
{'loss': '1.09', 'grad_norm': '0.579', 'learning_rate': '6.128e-05', 'entropy': '1.083', 'num_tokens': '8.984e+05', 'mean_token_accuracy': '0.7203', 'epoch': '0.1847'}
{'loss': '1.049', 'grad_norm': '0.5629', 'learning_rate': '6.241e-05', 'entropy': '1.019', 'num_tokens': '9.132e+05', 'mean_token_accuracy': '0.7361', 'epoch': '0.1881'}
{'loss': '1.056', 'grad_norm': '0.5685', 'learning_rate': '6.355e-05', 'entropy': '1.036', 'num_tokens': '9.293e+05', 'mean_token_accuracy': '0.727', 'epoch': '0.1916'}
{'loss': '1.05', 'grad_norm': '0.4748', 'learning_rate': '6.469e-05', 'entropy': '1.058', 'num_tokens': '9.465e+05', 'mean_token_accuracy': '0.7238', 'epoch': '0.195'}
{'loss': '1.079', 'grad_norm': '0.4745', 'learning_rate': '6.583e-05', 'entropy': '1.098', 'num_tokens': '9.632e+05', 'mean_token_accuracy': '0.7182', 'epoch': '0.1984'}
{'loss': '1.089', 'grad_norm': '0.4998', 'learning_rate': '6.697e-05', 'entropy': '1.085', 'num_tokens': '9.803e+05', 'mean_token_accuracy': '0.7147', 'epoch': '0.2018'}
{'loss': '1.084', 'grad_norm': '0.4817', 'learning_rate': '6.811e-05', 'entropy': '1.061', 'num_tokens': '9.97e+05', 'mean_token_accuracy': '0.7229', 'epoch': '0.2052'}
{'eval_loss': '1.051', 'eval_runtime': '159.8', 'eval_samples_per_second': '32.54', 'eval_steps_per_second': '8.137', 'eval_entropy': '1.055', 'eval_num_tokens': '9.97e+05', 'eval_mean_token_accuracy': '0.7256', 'epoch': '0.2052'}
{'loss': '1.074', 'grad_norm': '0.4833', 'learning_rate': '6.925e-05', 'entropy': '1.046', 'num_tokens': '1.013e+06', 'mean_token_accuracy': '0.7288', 'epoch': '0.2087'}
{'loss': '1.099', 'grad_norm': '0.4325', 'learning_rate': '7.039e-05', 'entropy': '1.087', 'num_tokens': '1.029e+06', 'mean_token_accuracy': '0.722', 'epoch': '0.2121'}
{'loss': '1.046', 'grad_norm': '0.4226', 'learning_rate': '7.153e-05', 'entropy': '1.051', 'num_tokens': '1.045e+06', 'mean_token_accuracy': '0.7304', 'epoch': '0.2155'}
{'loss': '1.045', 'grad_norm': '0.43', 'learning_rate': '7.267e-05', 'entropy': '1.036', 'num_tokens': '1.062e+06', 'mean_token_accuracy': '0.7269', 'epoch': '0.2189'}
{'loss': '1.054', 'grad_norm': '0.4771', 'learning_rate': '7.38e-05', 'entropy': '1.052', 'num_tokens': '1.078e+06', 'mean_token_accuracy': '0.7277', 'epoch': '0.2223'}
{'loss': '1.125', 'grad_norm': '0.4712', 'learning_rate': '7.494e-05', 'entropy': '1.111', 'num_tokens': '1.096e+06', 'mean_token_accuracy': '0.7103', 'epoch': '0.2258'}
{'loss': '1.017', 'grad_norm': '0.4566', 'learning_rate': '7.608e-05', 'entropy': '1.035', 'num_tokens': '1.112e+06', 'mean_token_accuracy': '0.7331', 'epoch': '0.2292'}
{'loss': '1.09', 'grad_norm': '0.4594', 'learning_rate': '7.722e-05', 'entropy': '1.069', 'num_tokens': '1.129e+06', 'mean_token_accuracy': '0.7235', 'epoch': '0.2326'}
{'loss': '1', 'grad_norm': '0.4566', 'learning_rate': '7.836e-05', 'entropy': '1.03', 'num_tokens': '1.146e+06', 'mean_token_accuracy': '0.7349', 'epoch': '0.236'}
{'loss': '1.055', 'grad_norm': '0.498', 'learning_rate': '7.95e-05', 'entropy': '1.03', 'num_tokens': '1.162e+06', 'mean_token_accuracy': '0.7274', 'epoch': '0.2394'}
{'eval_loss': '1.05', 'eval_runtime': '159.7', 'eval_samples_per_second': '32.55', 'eval_steps_per_second': '8.14', 'eval_entropy': '1.045', 'eval_num_tokens': '1.162e+06', 'eval_mean_token_accuracy': '0.7259', 'epoch': '0.2394'}
{'loss': '1.087', 'grad_norm': '0.4392', 'learning_rate': '8.064e-05', 'entropy': '1.059', 'num_tokens': '1.178e+06', 'mean_token_accuracy': '0.7187', 'epoch': '0.2429'}
{'loss': '1.07', 'grad_norm': '0.4492', 'learning_rate': '8.178e-05', 'entropy': '1.097', 'num_tokens': '1.195e+06', 'mean_token_accuracy': '0.7246', 'epoch': '0.2463'}
{'loss': '1.109', 'grad_norm': '0.4303', 'learning_rate': '8.292e-05', 'entropy': '1.107', 'num_tokens': '1.212e+06', 'mean_token_accuracy': '0.7114', 'epoch': '0.2497'}
{'loss': '1.076', 'grad_norm': '0.4122', 'learning_rate': '8.405e-05', 'entropy': '1.052', 'num_tokens': '1.229e+06', 'mean_token_accuracy': '0.7204', 'epoch': '0.2531'}
{'loss': '1.102', 'grad_norm': '0.3937', 'learning_rate': '8.519e-05', 'entropy': '1.097', 'num_tokens': '1.246e+06', 'mean_token_accuracy': '0.7199', 'epoch': '0.2565'}
{'loss': '1.142', 'grad_norm': '0.4239', 'learning_rate': '8.633e-05', 'entropy': '1.113', 'num_tokens': '1.264e+06', 'mean_token_accuracy': '0.715', 'epoch': '0.26'}
{'loss': '1.07', 'grad_norm': '0.384', 'learning_rate': '8.747e-05', 'entropy': '1.048', 'num_tokens': '1.282e+06', 'mean_token_accuracy': '0.7254', 'epoch': '0.2634'}
{'loss': '1.043', 'grad_norm': '0.4089', 'learning_rate': '8.861e-05', 'entropy': '1.048', 'num_tokens': '1.299e+06', 'mean_token_accuracy': '0.7297', 'epoch': '0.2668'}
{'loss': '1.114', 'grad_norm': '0.436', 'learning_rate': '8.975e-05', 'entropy': '1.113', 'num_tokens': '1.316e+06', 'mean_token_accuracy': '0.7179', 'epoch': '0.2702'}
{'loss': '1.028', 'grad_norm': '0.4429', 'learning_rate': '9.089e-05', 'entropy': '1.05', 'num_tokens': '1.333e+06', 'mean_token_accuracy': '0.7318', 'epoch': '0.2736'}
{'eval_loss': '1.046', 'eval_runtime': '159.5', 'eval_samples_per_second': '32.6', 'eval_steps_per_second': '8.153', 'eval_entropy': '1.035', 'eval_num_tokens': '1.333e+06', 'eval_mean_token_accuracy': '0.7259', 'epoch': '0.2736'}
{'loss': '1.08', 'grad_norm': '0.3927', 'learning_rate': '9.203e-05', 'entropy': '1.06', 'num_tokens': '1.35e+06', 'mean_token_accuracy': '0.7216', 'epoch': '0.2771'}
{'loss': '1.107', 'grad_norm': '0.3986', 'learning_rate': '9.317e-05', 'entropy': '1.091', 'num_tokens': '1.367e+06', 'mean_token_accuracy': '0.7177', 'epoch': '0.2805'}
{'loss': '1.009', 'grad_norm': '0.4386', 'learning_rate': '9.431e-05', 'entropy': '1.024', 'num_tokens': '1.383e+06', 'mean_token_accuracy': '0.736', 'epoch': '0.2839'}
{'loss': '1.072', 'grad_norm': '0.4128', 'learning_rate': '9.544e-05', 'entropy': '1.021', 'num_tokens': '1.399e+06', 'mean_token_accuracy': '0.7286', 'epoch': '0.2873'}
{'loss': '1.083', 'grad_norm': '0.3825', 'learning_rate': '9.658e-05', 'entropy': '1.074', 'num_tokens': '1.416e+06', 'mean_token_accuracy': '0.718', 'epoch': '0.2907'}
{'loss': '0.9994', 'grad_norm': '0.3866', 'learning_rate': '9.772e-05', 'entropy': '1.035', 'num_tokens': '1.431e+06', 'mean_token_accuracy': '0.74', 'epoch': '0.2942'}
{'loss': '1.032', 'grad_norm': '0.3776', 'learning_rate': '9.886e-05', 'entropy': '1.023', 'num_tokens': '1.447e+06', 'mean_token_accuracy': '0.7314', 'epoch': '0.2976'}
{'loss': '1.109', 'grad_norm': '0.3881', 'learning_rate': '0.0001', 'entropy': '1.086', 'num_tokens': '1.464e+06', 'mean_token_accuracy': '0.7154', 'epoch': '0.301'}
{'loss': '1.077', 'grad_norm': '0.4123', 'learning_rate': '9.999e-05', 'entropy': '1.097', 'num_tokens': '1.48e+06', 'mean_token_accuracy': '0.7221', 'epoch': '0.3044'}
{'loss': '1.061', 'grad_norm': '0.3805', 'learning_rate': '9.998e-05', 'entropy': '1.051', 'num_tokens': '1.497e+06', 'mean_token_accuracy': '0.7278', 'epoch': '0.3079'}
{'eval_loss': '1.043', 'eval_runtime': '159', 'eval_samples_per_second': '32.7', 'eval_steps_per_second': '8.178', 'eval_entropy': '1.052', 'eval_num_tokens': '1.497e+06', 'eval_mean_token_accuracy': '0.7268', 'epoch': '0.3079'}
{'loss': '1.049', 'grad_norm': '0.3215', 'learning_rate': '9.995e-05', 'entropy': '1.027', 'num_tokens': '1.513e+06', 'mean_token_accuracy': '0.7313', 'epoch': '0.3113'}
{'loss': '1.084', 'grad_norm': '0.3954', 'learning_rate': '9.991e-05', 'entropy': '1.068', 'num_tokens': '1.531e+06', 'mean_token_accuracy': '0.7264', 'epoch': '0.3147'}
{'loss': '0.9865', 'grad_norm': '0.3804', 'learning_rate': '9.985e-05', 'entropy': '1.002', 'num_tokens': '1.546e+06', 'mean_token_accuracy': '0.7415', 'epoch': '0.3181'}
{'loss': '1.099', 'grad_norm': '0.3888', 'learning_rate': '9.979e-05', 'entropy': '1.082', 'num_tokens': '1.563e+06', 'mean_token_accuracy': '0.7156', 'epoch': '0.3215'}
{'loss': '1.088', 'grad_norm': '0.4321', 'learning_rate': '9.971e-05', 'entropy': '1.062', 'num_tokens': '1.579e+06', 'mean_token_accuracy': '0.72', 'epoch': '0.325'}
{'loss': '1.064', 'grad_norm': '0.3814', 'learning_rate': '9.962e-05', 'entropy': '1.069', 'num_tokens': '1.596e+06', 'mean_token_accuracy': '0.7298', 'epoch': '0.3284'}
{'loss': '1.076', 'grad_norm': '0.3854', 'learning_rate': '9.952e-05', 'entropy': '1.066', 'num_tokens': '1.613e+06', 'mean_token_accuracy': '0.7243', 'epoch': '0.3318'}
{'loss': '1.046', 'grad_norm': '0.3703', 'learning_rate': '9.941e-05', 'entropy': '1.035', 'num_tokens': '1.628e+06', 'mean_token_accuracy': '0.7256', 'epoch': '0.3352'}
{'loss': '1.039', 'grad_norm': '0.4278', 'learning_rate': '9.929e-05', 'entropy': '1.054', 'num_tokens': '1.645e+06', 'mean_token_accuracy': '0.73', 'epoch': '0.3386'}
{'loss': '1.051', 'grad_norm': '0.397', 'learning_rate': '9.915e-05', 'entropy': '1.091', 'num_tokens': '1.663e+06', 'mean_token_accuracy': '0.7232', 'epoch': '0.3421'}
{'eval_loss': '1.043', 'eval_runtime': '158.9', 'eval_samples_per_second': '32.7', 'eval_steps_per_second': '8.179', 'eval_entropy': '1.04', 'eval_num_tokens': '1.663e+06', 'eval_mean_token_accuracy': '0.7268', 'epoch': '0.3421'}
{'loss': '1.081', 'grad_norm': '0.408', 'learning_rate': '9.901e-05', 'entropy': '1.048', 'num_tokens': '1.68e+06', 'mean_token_accuracy': '0.7233', 'epoch': '0.3455'}
{'loss': '1.047', 'grad_norm': '0.3957', 'learning_rate': '9.885e-05', 'entropy': '1.011', 'num_tokens': '1.695e+06', 'mean_token_accuracy': '0.732', 'epoch': '0.3489'}
{'loss': '1.084', 'grad_norm': '0.3393', 'learning_rate': '9.868e-05', 'entropy': '1.078', 'num_tokens': '1.712e+06', 'mean_token_accuracy': '0.7208', 'epoch': '0.3523'}
{'loss': '1.069', 'grad_norm': '0.365', 'learning_rate': '9.85e-05', 'entropy': '1.105', 'num_tokens': '1.729e+06', 'mean_token_accuracy': '0.7258', 'epoch': '0.3557'}
{'loss': '1.026', 'grad_norm': '0.3758', 'learning_rate': '9.831e-05', 'entropy': '1.011', 'num_tokens': '1.745e+06', 'mean_token_accuracy': '0.7319', 'epoch': '0.3592'}
{'loss': '1.113', 'grad_norm': '0.3841', 'learning_rate': '9.81e-05', 'entropy': '1.062', 'num_tokens': '1.762e+06', 'mean_token_accuracy': '0.7115', 'epoch': '0.3626'}
{'loss': '1.024', 'grad_norm': '0.3426', 'learning_rate': '9.789e-05', 'entropy': '1.054', 'num_tokens': '1.779e+06', 'mean_token_accuracy': '0.7359', 'epoch': '0.366'}
{'loss': '1.046', 'grad_norm': '0.3662', 'learning_rate': '9.766e-05', 'entropy': '1.05', 'num_tokens': '1.796e+06', 'mean_token_accuracy': '0.7352', 'epoch': '0.3694'}
{'loss': '1.007', 'grad_norm': '0.3692', 'learning_rate': '9.742e-05', 'entropy': '0.9909', 'num_tokens': '1.813e+06', 'mean_token_accuracy': '0.7367', 'epoch': '0.3728'}
{'loss': '1.044', 'grad_norm': '0.3459', 'learning_rate': '9.717e-05', 'entropy': '1.026', 'num_tokens': '1.83e+06', 'mean_token_accuracy': '0.7281', 'epoch': '0.3763'}
{'eval_loss': '1.038', 'eval_runtime': '159', 'eval_samples_per_second': '32.68', 'eval_steps_per_second': '8.174', 'eval_entropy': '1.051', 'eval_num_tokens': '1.83e+06', 'eval_mean_token_accuracy': '0.7278', 'epoch': '0.3763'}
{'loss': '1.073', 'grad_norm': '0.3937', 'learning_rate': '9.691e-05', 'entropy': '1.077', 'num_tokens': '1.846e+06', 'mean_token_accuracy': '0.7246', 'epoch': '0.3797'}
{'loss': '1.114', 'grad_norm': '0.3558', 'learning_rate': '9.664e-05', 'entropy': '1.101', 'num_tokens': '1.864e+06', 'mean_token_accuracy': '0.7142', 'epoch': '0.3831'}
{'loss': '1.087', 'grad_norm': '0.3577', 'learning_rate': '9.636e-05', 'entropy': '1.088', 'num_tokens': '1.882e+06', 'mean_token_accuracy': '0.7159', 'epoch': '0.3865'}
{'loss': '1.028', 'grad_norm': '0.3364', 'learning_rate': '9.607e-05', 'entropy': '1.046', 'num_tokens': '1.899e+06', 'mean_token_accuracy': '0.7353', 'epoch': '0.3899'}
{'loss': '1.087', 'grad_norm': '0.3389', 'learning_rate': '9.576e-05', 'entropy': '1.057', 'num_tokens': '1.916e+06', 'mean_token_accuracy': '0.722', 'epoch': '0.3934'}
{'loss': '1.045', 'grad_norm': '0.3707', 'learning_rate': '9.545e-05', 'entropy': '1.015', 'num_tokens': '1.933e+06', 'mean_token_accuracy': '0.7297', 'epoch': '0.3968'}
{'loss': '1.064', 'grad_norm': '0.3446', 'learning_rate': '9.512e-05', 'entropy': '1.064', 'num_tokens': '1.949e+06', 'mean_token_accuracy': '0.7278', 'epoch': '0.4002'}
{'loss': '1.032', 'grad_norm': '0.3371', 'learning_rate': '9.479e-05', 'entropy': '1.038', 'num_tokens': '1.967e+06', 'mean_token_accuracy': '0.7321', 'epoch': '0.4036'}
{'loss': '1.019', 'grad_norm': '0.3584', 'learning_rate': '9.444e-05', 'entropy': '1.024', 'num_tokens': '1.983e+06', 'mean_token_accuracy': '0.7312', 'epoch': '0.407'}
